model,language_code,language,final_rank,voice_id,voice_name,Notice Period,Multiplier
eleven_v3,ara,Arabic,1,u0TsaWvt0v8migutHM3M,"Ghizlane - Smooth, Distinctive and Calm",730,
eleven_v3,ara,Arabic,2,rPNcQ53R703tTmtue1AT,Mazen Lawand - Deep and Professional,730,
eleven_v3,ara,Arabic,3,R6nda3uM038xEEKi7GFl,"Anas - Calm, Attractive and Clear",730,
eleven_v3,ara,Arabic,4,A9ATTqUUQ6GHu0coCz8t,"Hamid - Friendly, Natural and Positive",180,
eleven_v3,ara,Arabic,5,IES4nrmZdUBHByLBde0P,"Haytham - Energetic, Warm and Cheerful",730,
eleven_v3,ara,Arabic,6,LXrTqFIgiubkrMkwvOUr,"Masry - Narrative, Clear and Strong",730,
eleven_v3,ara,Arabic,7,XTa3iQyMA6f1qrI4F6kZ,"Sara - Soft, Expressive, and Warm",730,
eleven_v3,ara,Arabic,8,yXEnnEln9armDCyhkXcA,"Jeddawi - Calm, Confident, and Deep",730,
eleven_v3,ara,Arabic,9,JjTirzdD7T3GMLkwdd3a,Hamida - Professional and Positive,90,
eleven_v3,ara,Arabic,10,G1HOkzin3NMwRHSq60UI,"Chaouki - Deep, Clear and Engaging",365,
eleven_v3,bul,Bulgarian,1,tnSpp4vdxKPjI9w0GnoV,Hope - upbeat and clear,730,
eleven_v3,bul,Bulgarian,2,vnewfQdVVk9Y9DZWVRNm,Moonglow - Mediative and Polished,730,
eleven_v3,bul,Bulgarian,3,406EiNlYvqFqcz3vsnOm,"Peter K - Warm, Round, and Smooth",730,
eleven_v3,bul,Bulgarian,4,fSxb5mPM1l5zTVVtM3Vb,"Elena - Energetic, Friendly, and Clear",180, $0.20
eleven_v3,bul,Bulgarian,5,pREMn4INXSs2KOPsNcsD,Alexandra - Smooth and Diplomatic,180, $0.20
eleven_v3,bul,Bulgarian,6,M1ydWt7KnBCiuv4CnEDC,"Milena - Optimistic, Clear, and Balanced",730,
eleven_v3,bul,Bulgarian,7,gdk0ZsvfAOobfbTtnx6p,Kosta,730,
eleven_v3,bul,Bulgarian,8,vZifugoCmJjNgn0bBdKH,Yordan,730,
eleven_v3,bul,Bulgarian,9,31jwlwrRwpOA5yGuVAby,"Georgi - Tender, Rich, and Reassuring",730,
eleven_v3,bul,Bulgarian,10,t3s4pRCVAAa7mheLnw74,"Vanesa - Deep, Warm, Narration",730,
eleven_v3,ces,Czech,1,MpbYQvoTmXjHkaxtLiSh,Anet - Youthful and Lively,730,
eleven_v3,ces,Czech,2,U48DQ1c9SVmD2BVCSiHL,Zazy - Clear Audiobook Narrator,,
eleven_v3,ces,Czech,3,SZXidiHhq5QYe3jRboSZ,"Anet - Low, Soft and Conversational",730, $0.20
eleven_v3,ces,Czech,4,7FpO7yFcBAfqM6vZJCg7,Jan - Bright and Gentle,730,
eleven_v3,ces,Czech,5,KIDKfqJyZ6ASuyzsKfh5,Jan - Kind Educator,365,
eleven_v3,ces,Czech,6,daJ4gHLkIVFskWuoLuDX,Oliver - Smooth and Engaging,730,
eleven_v3,ces,Czech,7,vP4R9CqQI4q0HlVrXJWj,Zdeněk - Strong and Deep,730,
eleven_v3,ces,Czech,8,NHv5TpkohJlOhwlTCzJk,"Pawel - Cinematic, Deep and Confident",30,
eleven_v3,ces,Czech,9,uYFJyGaibp4N2VwYQshk,Adam - Velvety and Conversational,730,
eleven_v3,ces,Czech,10,bF7C2fCv7Zf30iT84wZ1,"Jana - Warm, Confident and Professional",730,
